#,id,address,city,street_with_building,apartment_number,rooms,area_m2,price,price_m2,link,img_url,object_important_note,date_published,floor,total_floors,year_built,latitude,longitude
1666,7007425,"Tallinn, Kesklinna linnaosa, Roosikrantsi tn-8/2",Tallinn,Roosikrantsi tn 8,2,4,117.2,619000,5281,https://www.city24.ee/ru/real-estate/skip/skip/7007425,https://c24ee.img-bcg.eu/object/24/5438/2v1169365438.jpg,https://roosikrantsi.domus.ee/,2025-05-23T02:01:07+03:00,1,2,2025,59.431323,24.74272
1667,6825095,"Tallinn, Põhja-Tallinna linnaosa, Tööstuse tn-93",Tallinn,Tööstuse tn 93,,2,43.9,129900,2959,https://www.city24.ee/ru/real-estate/skip/skip/6825095,https://c24ee.img-bcg.eu/object/24/7475/2v587867475.jpg,MEREVAATEGA RENOVEERITUD KORTER PÕHJA-TALLINNAS!,2025-05-23T00:03:22+03:00,4,5,1970,59.453468,24.708608
1668,6117549,"Tallinn, Kesklinna linnaosa, Roosikrantsi tn-8/2",Tallinn,Roosikrantsi tn 8,2,6,152.7,828000,5422,https://www.city24.ee/ru/real-estate/skip/skip/6117549,https://c24ee.img-bcg.eu/object/24/5050/2v2672265050.jpg,Eriline kodu südalinna vaikses sisekvartalis!,2025-05-23T00:01:13+03:00,1,2,2025,59.431323,24.74272
1669,9280604,"Tallinn, Kesklinna linnaosa, Pirita tee-26f",Tallinn,Pirita tee 26f,,3,127.5,450000,3529,https://www.city24.ee/ru/real-estate/skip/skip/9280604,https://c24ee.img-bcg.eu/object/24/9841/2v2999339841.jpg,"Merevaatega terrass + suur rõdu, elegantne sisutus",2025-05-22T21:25:23+03:00,12,16,2003,59.44757,24.808423
1670,8107404,"Tallinn, Kadriorg, F. J. Wiedemanni tn-6",Tallinn,F. J. Wiedemanni tn 6,,4,104.2,439000,4213,https://www.city24.ee/ru/real-estate/skip/skip/8107404,https://c24ee.img-bcg.eu/object/24/3799/2v878163799.jpg,Tõeline Kadrioru kodu!,2025-05-22T20:13:00+03:00,1,3,1937,59.4359109,24.7796129
1671,1961717,"Tallinn, Kesklinna linnaosa, Juhkentali tn-14",Tallinn,Juhkentali tn 14,,2,41,210000,5121,https://www.city24.ee/ru/real-estate/skip/skip/1961717,https://c24ee.img-bcg.eu/object/24/0036/2v3157570036.jpg,MUGAV JA LÄBIMÕELDUD MOODNE LINNAMAJA!,2025-05-22T20:03:53+03:00,3,5,2025,59.428075,24.761325
1672,7436161,"Tallinn, Kesklinna linnaosa, Juhkentali tn-14",Tallinn,Juhkentali tn 14,,3,67.8,260000,3834,https://www.city24.ee/ru/real-estate/skip/skip/7436161,https://c24ee.img-bcg.eu/object/24/1760/2v3188371760.jpg,,2025-05-22T20:03:48+03:00,1,5,2025,59.428075,24.761325
1673,3710345,"Tallinn, Kesklinna linnaosa, Juhkentali tn-14",Tallinn,Juhkentali tn 14,,2,43,210000,4883,https://www.city24.ee/ru/real-estate/skip/skip/3710345,https://c24ee.img-bcg.eu/object/24/0873/2v3532820873.jpg,MUGAV JA LÄBIMÕELDUD MOODNE LINNAMAJA!,2025-05-22T18:03:54+03:00,2,5,2025,59.428075,24.761325
1674,6172208,"Tallinn, Haabersti linnaosa, Astangu tn-34",Tallinn,Astangu tn 34,,2,50.5,128000,2534,https://www.city24.ee/ru/real-estate/skip/skip/6172208,https://c24ee.img-bcg.eu/object/24/8526/2v2011988526.jpg,MÜÜA KAASAEGNE  JA MUGAV 2 TOALINE KODU ASTANGUL! ,2025-05-22T18:03:53+03:00,5,5,1988,59.403728,24.632893
1675,9086365,"Tallinn, Kesklinna linnaosa, Juhkentali tn-14",Tallinn,Juhkentali tn 14,,2,42.2,259000,6137,https://www.city24.ee/ru/real-estate/skip/skip/9086365,https://c24ee.img-bcg.eu/object/24/8171/2v3748248171.jpg,MUGAV JA LÄBIMÕELDUD MOODNE LINNAMAJA!,2025-05-22T18:03:50+03:00,5,5,2025,59.428075,24.761325
1676,4873057,"Tallinn, Kesklinna linnaosa, Juhkentali tn-14",Tallinn,Juhkentali tn 14,,3,73.8,416000,5636,https://www.city24.ee/ru/real-estate/skip/skip/4873057,https://c24ee.img-bcg.eu/object/24/0225/2v878820225.jpg,MUGAV JA LÄBIMÕELDUD MOODNE LINNAMAJA!,2025-05-22T18:03:46+03:00,5,5,2025,59.428075,24.761325
1677,6069008,"Tallinn, Kesklinna linnaosa, Juhkentali tn-14",Tallinn,Juhkentali tn 14,,2,43,219000,5093,https://www.city24.ee/ru/real-estate/skip/skip/6069008,https://c24ee.img-bcg.eu/object/24/3881/2v1372103881.jpg,MUGAV JA LÄBIMÕELDUD MOODNE LINNAMAJA!,2025-05-22T18:03:34+03:00,4,5,2025,59.428075,24.761325
1678,2483469,"Tallinn, Põhja-Tallinna linnaosa, Staapli tn-4",Tallinn,Staapli tn 4,,2,70.5,370000,5248,https://www.city24.ee/ru/real-estate/skip/skip/2483469,https://c24ee.img-bcg.eu/object/24/7420/2v3919717420.jpg,2-toaline saunaga korter Noblessneri sadama kõrval!,2025-05-22T17:59:46+03:00,2,6,2018,59.452138,24.728609
